,Species,group,presence,rank,score
0,nudibranch,gastropod,1,1,5
1,horseshoe crab,crustacean,1,2,4
2,cuttlefish,Cephalopod,1,3,3
3,whales,mammal,1,4,2
4,angular fish,fish,1,5,1
5,amphipods,crustacean,1,1,5
6,bull kelp,macroalgae,1,2,4
7,giant kelp,macroalgae,1,3,3
8,crinoid,echinoderm,1,4,2
9,angasi oysters,bivalve,1,5,1
10,octopus,Cephalopod,1,1,5
11,epaulette shark,elasmobranch,1,2,4
12,stingrays,elasmobranch,1,3,3
13,whales,mammal,1,4,2
14,seals,mammal,1,5,1
15,sharks,elasmobranch,1,1,5
16,whales,mammal,1,2,4
17,dolphins,mammal,1,3,3
18,clown fish,fish,1,4,2
19,seahorses,fish,1,5,1
20,whale,mammal,1,1,5
21,dolphin,mammal,1,2,4
22,squid,Cephalopod,1,3,3
23,oyster,bivalve,1,4,2
24,scallop,bivalve,1,5,1
25,axolotl,amphibian,1,1,5
26,mola mola,fish,1,2,4
27,mantis shrimp,crustacean,1,3,3
28,giant squid,Cephalopod,1,4,2
29,cyanobacteria,Cyanobacteria,1,5,1
30,seahorses and sea dragons,fish,1,1,5
31,dolphins,mammal,1,2,4
32,seals,mammal,1,3,3
33,animal migration?,other,1,4,2
34,anemones and their cnidaria,cnidaria,1,5,1
35,humpback whales,mammal,1,1,5
36,mantis shrimp,crustacean,1,2,4
37,leatherback turtles,reptile,1,3,3
38,sunfish,fish,1,4,2
39,grey nurse sharks,elasmobranch,1,5,1
40,manta ray,elasmobranch,1,1,5
41,sharks,elasmobranch,1,2,4
42,phytoplankton,phytoplankton,1,3,3
43,chinstrap penguin,bird,1,4,2
44,dolphins,mammal,1,5,1
45,sea turtles,reptile,1,1,5
46,octopus,Cephalopod,1,2,4
47,fairy penguin,bird,1,3,3
48,sharks,elasmobranch,1,4,2
49,blue bottle jellyfish,cnidaria,1,5,1
50,galapagos marine iguana,reptile,1,1,5
51,irukandji jellyfish,cnidaria,1,2,4
52,stonefish,fish,1,3,3
53,whale shark,elasmobranch,1,4,2
54,sea turtles,reptile,1,5,1
55,sharks,elasmobranch,1,1,5
56,dolphins,mammal,1,2,4
57,turtles,reptile,1,3,3
58,seahorses,fish,1,4,2
59,weedy seadragons,fish,1,5,1
60,manta ray,elasmobranch,1,1,5
61,turtle,reptile,1,2,4
62,dugong,mammal,1,3,3
63,dolphin,mammal,1,4,2
64,coral,cnidaria,1,5,1
65,sea horses,fish,1,1,5
66,ostracod,crustacean,1,2,4
67,nudibranch,gastropod,1,3,3
68,sea snails,gastropod,1,4,2
